Artist,Track,Loudness,Acousticness,Tempo,Url_youtube
Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",-5.232,0.00413,82.034,https://www.youtube.com/watch?v=IumYMCllMsM
Machine Gun Kelly,forget me too (feat. Halsey),-4.845,0.000417,99.975,https://www.youtube.com/watch?v=0tn6nWYNK3Q
Machine Gun Kelly,bloody valentine,-4.212,0.00021,160.057,https://www.youtube.com/watch?v=wSdT-SArM2Q
Machine Gun Kelly,Bad Things (with Camila Cabello),-4.757,0.214,137.853,https://www.youtube.com/watch?v=QpbQ4I3Eidg
Machine Gun Kelly,make up sex (feat. blackbear),-4.122,0.00156,131.986,https://www.youtube.com/watch?v=hbXcy50umRc
Machine Gun Kelly,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",-6.695,0.0693,92.057,https://www.youtube.com/watch?v=AKDlT3j8mwU
Machine Gun Kelly,ay! (feat. Lil Wayne),-6.689,0.05,147.002,https://www.youtube.com/watch?v=QwowRNLw8Fg
Nicky Jam,X,-5.298,0.0338,179.968,https://www.youtube.com/watch?v=_I_D_8Z4sJE
Nicky Jam,El Perdón (with Enrique Iglesias),-5.83,0.443,179.908,https://www.youtube.com/watch?v=hXI8RQYC36Q
Nicky Jam,Bella y Sensual,-6.909,0.228,179.864,https://www.youtube.com/watch?v=RSRzIrOqaN4
Nicky Jam,"Nicky Jam: Bzrp Music Sessions, Vol. 41",-3.167,0.0913,89.907,https://www.youtube.com/watch?v=8Q2_uF26DkQ
Nicky Jam,Cuaderno,-5.021,0.523,172.02,https://www.youtube.com/watch?v=_WmvVJ43RoM
Nicky Jam,En La Cama (feat. Daddy Yankee),-4.832,0.183,104.072,https://www.youtube.com/watch?v=QgZcLdDR7qw
Nicky Jam,Si Te Preguntan...,-2.867,0.531,136.945,https://www.youtube.com/watch?v=nAwWqC9GYgM
Nicky Jam,Hasta el Amanecer,-6.042,0.282,94.013,https://www.youtube.com/watch?v=kkx-7fsiWgg
Nicky Jam,Color Esperanza 2020,-7.768,0.161,106.002,https://www.youtube.com/watch?v=GqOvxbFLwjY
